"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Ahnak",14.52249316,12.30910131,12.68706756,12.27179034,12.93839539,12.7001436,12.18873809,11.96176401,11.77194837,12.14103693,12.79212668,12.30421861,12.15143607,12.31532703,12.94460099,12.48022815,11.99570716,13.0246926,12.2199215,12.31878038,12.37595807,11.94954858,12.67495724,12.08214719,12.69305577,12.60377177,11.83844368,12.30148396,11.65524722,12.18882156,11.74635303,12.36160853,12.0652171,12.57295266,12.34011028,12.62874596,11.92143221,12.41572918,12.68395172,12.58399934,11.96771191,13.04491712,12.67285534,12.40429995,12.00203705
"Vcl",5.817963836,4.704582649,5.514691094,4.531802171,4.865800601,5.775483541,5.415198064,4.602441932,4.784420764,5.231062162,4.088092199,4.585649611,4.967110316,5.221508518,4.767645308,4.645670597,4.738537536,5.091354371,5.597342393,4.461190996,6.053499895,4.52244015,5.221820793,4.302751678,4.539043901,4.638111979,4.569666131,4.666012634,5.26895727,5.136436625,3.711719581,4.71202368,6.034568608,4.458220072,4.399656498,5.36559152,5.076719041,5.244837353,4.163945862,4.796610756,5.188096674,5.153194103,4.86633202,4.85271305,4.232392923
"Tln1",15.43948131,13.82423091,14.47727005,14.56656383,14.63825634,14.12372018,13.79479462,14.03251368,13.83465714,14.95567587,14.68285148,13.52425516,14.38672507,13.86532138,14.41906203,14.80791085,14.35013114,14.05803722,14.12273699,14.42618261,14.28827115,14.41488165,14.10326386,14.04990098,13.70133464,14.00288224,14.08484616,13.54492677,13.21143293,14.05558132,14.91907331,13.74642991,14.07279601,14.27848016,14.18542863,14.7790835,14.73083271,12.85349351,13.86492864,14.08397963,13.87471385,14.24347009,14.08439998,14.38867472,13.39563982
"Bzw1",9.880312224,9.804803054,10.25712641,8.481290647,9.559631501,9.555868392,9.761114055,9.757245796,9.719872584,9.74087796,9.349142942,9.685637733,9.368161318,10.06969851,9.363097629,9.651830008,9.741372061,9.131883449,10.50845314,9.734149747,10.22320661,8.12135483,9.441711875,9.011736631,9.45578844,9.641176556,9.568879086,9.59095273,9.552642749,8.998348142,9.567895678,9.595022728,10.0806783,9.108048343,9.745560404,9.611820786,9.732306134,9.308481555,9.755249574,10.30798761,10.9122816,9.177293134,9.063493645,9.231208688,9.805890897
"Mmp19",7.689953107,8.274682312,6.425495197,9.059763067,7.971088738,5.062590582,7.19792442,6.413080309,9.021534698,6.709223115,6.883024924,6.839406269,5.957144172,6.737528562,5.832943175,8.663817858,8.323213302,6.932971864,7.004649359,7.770070715,6.285308517,7.396732486,8.024211217,8.092815524,9.178081743,7.143035369,7.425356223,6.524389283,7.002680183,7.370034404,6.884031945,6.452459701,7.184256792,8.456688219,7.336535309,7.517638496,7.862650768,4.639675529,7.333060152,7.008680326,6.89024031,7.812109505,8.87048255,8.450960878,7.31719429
"Lbp",8.450047503,8.839583146,8.03176854,7.14773466,7.522257417,6.609291245,8.38901317,9.930963619,10.4477406,7.809382533,8.966481296,9.236909454,7.836054522,9.274223102,8.725942434,10.15600487,9.618061794,9.786394825,8.307128885,8.715281164,8.781233167,8.855530253,10.03386533,7.908727698,8.763796283,9.886352673,9.482647962,9.332452081,9.536480018,9.988674457,10.60632928,8.635446915,7.403664941,10.15079326,10.79944643,9.360075196,7.45537122,10.46282421,9.153201444,8.239335318,9.188992556,9.110340725,9.263051161,8.567112078,9.710536876
"Enpp1",6.98935135,8.11444531,6.441010664,8.102904676,7.597979217,5.951078511,8.56816326,8.363585601,8.241061358,5.432037553,7.945481049,8.849924413,8.050945128,7.366783919,8.538813936,5.566262003,8.264639454,7.117529219,7.112159832,8.127960556,7.206817126,7.940192306,7.764846742,8.065680042,7.618709195,7.948184745,6.819169027,7.95839378,7.583306018,7.687120432,7.514977717,9.377902472,8.67869757,7.641542027,6.920722909,8.416912956,8.578635353,8.3148612,7.662758858,7.608243188,7.606417682,8.494619873,8.089531598,7.791066119,8.368319163
"Cltc",9.729528318,8.61317489,8.961845579,8.121413844,8.268138197,8.191741951,7.300466016,8.614979443,8.668080012,9.291459648,9.450861942,9.269577474,8.193007131,8.355823464,8.716224668,8.121855414,8.293824366,8.983872037,8.55278009,8.626943067,8.790508434,8.425244201,9.053297713,9.24954614,9.183433854,9.302555382,9.504267982,9.375492552,9.285270606,8.600467185,8.53553268,7.451052136,8.780185527,9.261839063,7.985575618,8.00075168,9.049630958,8.679223253,8.303960438,8.897459005,8.581095669,8.533803692,8.799918464,8.473143657,8.879725579
"Ambp",10.118105,10.90581463,11.03590048,9.91312612,10.87738183,11.72996638,10.06121147,11.18431745,11.57182808,10.23377056,10.06312398,11.23358942,10.68175593,11.56571748,10.67644228,10.58050655,10.53094925,10.53892366,11.19025075,11.00206988,11.27461246,11.10351863,11.26906322,11.76136904,11.24733842,11.5465678,11.64316183,11.48883599,11.47730618,10.68836345,11.26359274,9.835928619,11.69366009,10.53448419,10.91813656,9.641791559,11.5347316,10.97235533,11.06335059,11.29919418,11.66784879,10.60904538,10.50751508,10.81603771,10.90723738
"Apoc2",9.369017479,7.976243893,7.911632282,6.605173406,7.211677221,6.736967804,7.914461065,6.130215648,7.405667427,6.690295202,7.529089689,6.448448418,7.603861967,7.664847682,6.630155445,10.98985177,6.94370553,7.958788943,5.994945022,6.765230258,6.835797683,7.010380893,6.623921154,6.29781375,6.505811853,7.162330344,6.610473729,7.44106661,7.768787518,7.296059527,7.739329705,7.5027101,6.608842184,7.159272171,7.333718794,8.126670721,9.28117811,7.084959665,7.758861413,7.359073939,7.134498191,6.481426296,7.397575301,7.909004686,8.842745941
"Capg",7.447510779,5.857735235,7.289333338,7.18409885,6.140766051,7.036065763,6.344711469,6.047435512,6.348400369,6.971809089,6.284579855,5.736083009,6.22218764,6.773734938,5.413463185,5.343950234,5.521545676,6.1076477,6.467602131,5.84641266,6.921701023,6.224469755,6.828225768,5.785595382,5.273672177,5.705817425,6.07674694,5.308109158,5.989903171,5.630950827,5.133417318,6.306047003,6.356442989,5.601659115,5.266643406,6.286203202,5.17920012,5.339090115,5.879916355,6.414655373,6.102583304,5.903184128,5.733964975,5.291428351,5.499447254
"Jchain",8.197877677,11.769690299,7.430894295,10.812347546,10.39441812,7.619264815,8.221694418,8.803294164,14.20250968,8.028527218,10.884164624,9.715278524,8.353982358,7.410187164,8.17208195,10.975228209,12.51131837,8.073486503,7.061090126,9.911734236,8.502580008,7.907885782,8.623754887,8.584962662,6.781769818,6.526788549,6.481351167,6.313949414,6.667420176,12.57694347,11.74521003,10.70598823,8.098355942,8.022388108,8.632553044,9.122960134,7.851226767,9.313558473,8.688929058,8.034015503,8.643016687,8.511685527,9.499843462,10.842159612,12.382290242
"Tgfbi",8.135222313,7.010574587,8.451271465,7.092983383,7.942764891,9.117609356,7.692964789,7.932246044,7.465265745,8.46352416,7.741759433,7.158422549,7.68362227,8.861732835,7.546995232,7.915458883,7.752104815,8.21520631,7.561083194,7.639455454,8.209854035,7.861805722,7.604194706,6.995446894,8.064293227,7.665561061,7.107659468,7.232456248,7.55138831,7.034825011,6.617635931,6.9432213,7.480255364,7.43662535,7.252215078,6.456771485,7.560122943,6.924043724,7.74073968,7.971053788,6.389164162,7.540928018,7.550245047,7.257332249,7.102770551
"Gsn",13.66887672,9.94947102,14.58165541,10.93665527,13.82071733,15.79718639,14.37950615,14.59735777,11.10642499,14.88521455,11.54891849,12.88055191,14.24148814,15.39646651,13.54419371,13.16756219,10.54683239,13.6710818,15.3002301,13.32381598,14.73338615,14.1802463,10.99239405,11.7288314,12.99166578,14.1031802,13.70354709,14.07804722,14.50033022,9.89482302,12.10773928,13.0039372,14.52677711,13.45076347,13.98318546,14.24282094,15.17454845,13.06699519,13.86244199,14.72430414,14.48512067,13.6479433,13.27045976,12.35419363,9.52452329
"Coq2",11.3906132,11.4577086,9.425295878,10.13493997,11.31895954,11.46487314,10.07589095,11.78026845,10.02300382,11.53042589,12.08098568,9.079924336,10.63397423,10.1238698,12.50958709,11.10596034,10.83508662,10.41603104,10.26452151,10.46672901,10.15487366,9.936838162,9.945418472,10.50704685,10.83147109,11.38342588,11.4978978,11.25896553,11.39665961,11.94770757,8.670537704,12.40818148,10.26498655,11.45128545,10.57690756,12.50020339,8.578789783,11.69279869,10.6497528,10.98101295,10.6134211,10.60717843,10.66117934,12.46440915,10.44058182
"Pam",8.177396324,7.071511423,8.001983599,6.521745275,7.745454317,8.684465826,7.393206082,8.110245822,7.109548365,7.938143348,6.366401306,6.219285609,7.958714446,8.752305514,8.572750926,8.788806842,7.578449458,8.655167869,8.467923677,7.398829621,8.28817839,8.337640191,7.994090643,7.118188405,8.647232392,7.737068923,8.086415287,7.821400505,8.481568609,6.951198374,6.54691437,6.46463521,7.471387297,8.075502381,8.59413994,7.733533622,8.394850426,7.510474546,7.208186587,8.037850134,6.851986142,8.237496603,7.499991075,6.831045483,5.983497727
"Cd5l",9.6458184,12.48844239,9.548460211,11.2376417,11.96212901,10.4375362,9.836562302,10.26935888,13.54718023,9.094019976,11.73394836,10.92070366,10.10504825,9.710879759,10.31261579,12.27637227,13.35579711,9.876537628,9.05237653,11.44040685,8.902783914,9.661151977,10.278663026,9.151501083,8.84142345,8.279364207,8.588139035,8.126973686,8.405022989,13.33385693,13.10706603,10.20858037,10.001297732,9.38786179,11.35475582,9.653214567,10.08144293,10.28071616,10.22253827,9.316251723,9.48208864,9.929940015,10.52358606,11.5913456,13.34586674
"Pafah1b1",10.22053883,9.634240506,8.716136649,9.38158818,9.420913226,9.795716638,9.148126277,9.112564669,8.450537605,9.458981195,8.982851362,9.847656139,9.961824116,9.423252732,10.2015697,8.999873956,9.318383677,9.128943046,8.825304618,9.722443459,8.736809734,9.066421689,8.547644044,8.884417492,9.524285394,9.194540175,10.03315087,9.865663304,9.622762171,9.621872159,9.309582471,9.20844829,8.749828861,9.358912742,9.39324722,8.550954766,9.312980736,9.397955008,9.639591054,9.702633063,9.719621736,9.789625096,9.628982427,9.570583269,9.825108821
"Fabp5",4.65536946,5.198378417,4.666537285,4.826181777,4.644798617,2.258299847,4.454484844,4.959976493,3.594436947,6.389835224,5.413190971,4.532659251,4.728688107,5.208320562,4.341074797,4.415942077,4.333317031,4.610068254,5.568328678,6.719872315,3.228236507,4.614734293,3.392713826,4.327559406,3.850973897,5.483796071,4.971737117,5.534888414,5.191390614,4.80895591,4.678622698,6.43358892,4.384739959,3.444359843,3.10627374,5.236207691,3.586378015,3.397807494,4.843059056,3.246462101,5.756550754,3.643860412,3.873688722,6.121793697,4.151141283
"Spon1",4.352918744,5.664249578,3.911927065,6.403808539,5.225845513,3.12891649,3.458478167,5.353467692,6.784933624,4.908804777,3.228244981,4.203975119,4.689795571,5.166537288,5.30582274,6.909783482,5.394891024,3.888136792,4.927550254,6.372619417,5.05536579,6.715912397,5.352281726,4.006623278,4.734889777,4.360448059,4.366097309,5.117302161,4.469497123,3.6796596,4.660232375,5.209894902,4.945092435,5.220168686,5.250314272,4.181542522,5.179127865,3.637499229,3.783274883,4.723267011,3.895529115,6.997881656,6.509013945,4.871597528,4.136610472
"Kng1",13.10659085,13.27851157,13.111326,12.02124974,13.71150529,13.61859713,12.12283664,13.6722847,13.46992142,13.02368416,12.73503727,12.84989899,13.70738359,13.60067843,13.44570796,14.17583173,13.70127127,13.11511844,13.80146874,13.80490021,13.37581333,13.69385083,14.26822653,13.72931321,13.64601767,14.10374334,14.03398153,13.87979575,13.83510829,12.90011961,13.49501482,11.8180743,13.62468948,13.42938344,13.64057491,12.86182844,13.98842656,12.89519729,13.73035165,13.61882071,13.46977497,13.71689758,13.56996387,13.63473458,12.73915958
"Vcam1",7.239940691,7.556752865,7.987995547,7.641293941,7.835160848,8.428182126,7.272866038,7.900492258,6.92466401,7.711738401,8.541139604,8.345055297,6.923113339,7.877483559,8.005159851,8.03068137,7.814172189,8.219103908,9.212580522,8.056476753,8.967628986,7.020008409,7.297973852,9.053848808,8.497490497,7.49066097,8.337164901,7.681543043,7.617500762,8.073185627,7.828591768,7.645054721,8.282236212,8.428431695,8.437776688,7.228183577,7.956164938,7.501366061,8.796919338,8.439370268,8.93295788,8.345260238,8.337318826,8.690539346,8.761702854
"Il1rap",5.847698862,7.629566868,6.955571476,8.029050444,7.140307012,6.420493257,7.366027473,7.669764329,7.519093506,6.383454733,7.495605909,8.464306857,7.170048846,7.021590957,8.188765144,7.612131791,7.585229625,7.179629246,7.239288528,8.158316063,6.643178865,8.036227974,6.680265085,7.824027369,7.394754053,7.496487088,7.696756203,7.267511363,7.290442562,8.417170596,8.243156637,8.805024686,7.809114324,8.266626308,7.491211067,7.692742283,8.118476121,7.629019869,7.271613808,6.499660177,6.486545079,7.441095132,7.381250198,7.6063996,7.645384534
"Igfbp2",6.255151487,5.001036616,6.63573792,6.538961456,6.097389074,7.342137934,4.647686184,6.949799433,6.455236259,6.518637241,5.178333996,5.059546948,7.067957556,6.480470562,5.592624431,5.805839929,6.397794539,6.155106259,7.032301644,4.812970151,7.27568917,6.807374924,6.718067926,5.775702744,6.096785686,6.399307075,6.699569666,7.284248854,7.212565944,5.872604629,5.947304918,6.302693555,6.535212069,6.365113662,6.00584461,6.522306356,6.732323684,6.798562039,6.299558498,7.168956294,6.474665749,6.341187548,6.644714815,6.276298154,4.185253743
"Ubb",7.221396904,6.225815817,5.997492235,7.622617317,6.859955768,6.567085398,6.789592331,6.634644435,5.597011343,4.016620564,7.193826046,6.300687593,4.862673377,4.141956839,6.839989041,6.541634596,6.478859013,7.741238491,4.845832182,5.784043469,5.932425408,4.521652997,5.402707846,6.38941256,5.75913473,5.847498766,3.889182929,5.750893539,5.205015738,6.136658373,6.610935287,6.520438722,5.559113148,5.859177352,5.300243511,4.690451961,5.091570723,6.097014315,6.162181537,5.490450988,5.192980925,5.313535894,6.039228692,6.245309859,5.855503806
"Arpc2",8.315475377,4.918208533,5.820694189,4.377183118,5.604781349,5.120845603,4.695176921,3.934897906,4.426535349,5.379504348,6.249590903,4.758450394,4.754832098,4.532676263,4.285421303,5.499898188,4.169089975,5.545642082,4.386184967,3.747309726,5.384749689,4.100989607,5.157379153,6.090390222,5.656296235,4.837447716,3.431530352,4.229324692,4.035249027,0.052931109,3.348134764,3.477499952,4.578544166,5.437121479,3.963259374,4.616385842,2.997545924,3.377507028,5.527510372,4.264038705,8.34551947,5.433165908,4.894831213,5.015832222,4.179860914
"Anxa4",10.78150728,9.510732874,10.3626143,10.07409174,10.18319857,9.007623447,10.65052806,9.488572233,9.974606551,10.66122253,10.35681846,10.07114469,10.99687109,9.853789298,10.75809249,10.41206499,10.28151583,10.49012339,9.643488893,10.01518067,9.53752446,10.45913709,10.2149798,10.02481285,10.45259215,10.09494198,10.1906668,10.14643244,10.12336714,10.3016311,10.08988893,9.829002754,10.13714581,10.71504712,10.02810929,10.27269748,9.312511466,9.481309396,9.930284451,9.921915771,9.665878705,10.39499544,9.66999786,9.68542811,10.1723843
"C4b",10.50146763,11.46024262,11.19180785,11.23701886,10.98477397,11.14926128,11.21039978,11.95202322,12.1192556,10.68422149,10.58435562,10.16161566,10.42024533,10.65570123,10.39950915,12.49813095,11.4028126,10.36790974,12.05551882,12.14391003,11.71185992,11.60118019,11.88267618,12.12292111,11.64777288,11.51529891,11.74761365,11.29523709,11.55389142,11.57481065,12.52994729,11.55169348,11.14897015,11.27048087,11.7965884,11.77273117,11.31101557,11.61462768,11.19019836,11.09567756,12.32419709,11.09850399,11.32557458,11.29361225,11.74193913
"Anxa2",9.801701109,7.77628458,9.021150189,9.593976795,8.992997764,9.236812845,9.790024601,8.387768093,7.345726626,9.356379521,9.835943096,8.559718335,9.104508248,9.461533334,9.099210457,8.12033639,7.686510298,9.865690347,8.984451232,7.676002773,8.54680205,7.941136646,10.05141571,9.307111636,10.5312666,10.54316575,8.513519301,9.886240101,8.047046685,7.565250378,7.756263167,8.512788667,8.067193684,7.001477376,9.508606063,8.340979712,7.578816624,9.962703394,9.802677984,10.13241143,8.509492947,10.57870706,9.407499133,8.533504629,8.006494819
"Msn",9.510013265,7.379039858,8.121641636,8.092171518,7.313254457,8.436657883,7.936101576,6.896896228,6.536321802,8.132666996,8.111183992,7.458038324,7.368945412,8.080552261,6.691294199,7.26250481,6.357253655,9.007177829,7.699134864,6.569543209,7.508819778,6.492157548,7.986141464,7.953662131,7.62660459,7.67265959,6.429457765,7.160642812,6.520134822,6.18798283,7.146907939,6.429854925,7.522880769,5.851677259,7.029978153,7.315922894,6.883461082,6.758896183,7.461480348,7.494149912,7.683776775,7.515072057,7.171197264,6.555228448,6.021748794
"Fcgr2b",4.970814923,3.542061631,5.001788653,5.508392062,5.366991976,4.67861606,4.661787292,5.246035179,4.577369263,3.969678815,6.708680206,4.705400253,4.915341121,4.876964245,5.092029956,5.744621942,3.825211257,5.223580949,4.70270445,5.012275754,2.750484506,3.630541055,6.407536935,6.350283784,5.957099161,6.626119839,5.155921553,5.17682047,4.007765833,3.787627216,5.841005092,4.420975267,2.010967331,3.588181,5.754229402,3.292124958,3.071587272,5.714127649,4.631071773,4.544076053,4.194661943,5.169981822,5.85425066,4.679494007,4.7074537
"Slc9a1",8.851478257,7.624322801,7.520448105,7.960782505,8.403250468,6.77264705,6.519734635,7.009728806,4.73271534,7.447761999,8.390213341,6.517529243,7.452387652,6.534071642,8.849966515,6.778684724,7.316713781,9.097160235,5.639249553,6.633384914,5.992170665,6.054174475,5.96275256,5.735553699,7.866536653,6.888458648,7.912210399,7.360577065,7.01512446,7.940824548,5.822573519,7.150395232,6.76654018,7.636664362,7.982270149,9.634622944,5.68220969,8.16907358,6.933555463,7.555520923,6.342020161,7.028116023,7.347967858,7.687104088,6.472167078
"Srl",7.581044373,8.638603468,7.881039934,9.582958621,8.454682692,8.42858614,9.293475516,7.558932852,8.180655345,7.829084663,8.283738357,9.136891524,8.370085161,8.612552186,9.106612445,9.231997231,7.569370321,8.592528048,9.163672811,8.545535792,7.364060176,9.335531345,8.951193791,8.930031811,8.647409666,8.900344287,9.260327387,8.947281067,8.845995021,8.868955966,7.795697953,9.387036909,9.244276622,8.278998307,8.278989104,8.686533208,9.210299539,8.506294521,8.61213017,7.350591925,9.598879257,8.558767553,7.73674895,8.817269919,8.757423958
"Nherf2",13.86270015,12.45426497,11.33335391,11.72003553,11.08445112,8.350802309,11.55257634,12.30030395,9.700703845,12.07361863,10.45799685,9.185380439,11.92437916,12.20208011,13.00470528,11.30372741,11.51211523,11.29035931,11.28424237,11.13584337,10.99182298,10.53614513,11.8803732,8.580029764,12.17385082,10.72456087,10.85549252,8.787517229,11.30508736,10.90178533,10.42252217,10.97329847,10.27305099,11.58597817,8.519168968,11.22480022,7.691419779,11.86179668,11.68771351,11.36573879,10.96463086,10.97272875,10.79935916,11.2718575,13.74794412
"Pzp",8.761920375,9.212404384,9.288597559,10.94603015,9.033384829,10.76232514,10.32368834,7.953682239,8.905606026,9.814043659,10.38818772,10.3348598,9.707168721,10.91889625,9.935550782,8.550671023,10.09923201,9.884815641,8.980414204,8.612056853,8.863753222,8.609848354,8.825427361,10.92046864,9.620538715,9.078240187,9.846908602,9.134667874,9.598601167,8.936634305,8.535284297,9.445755174,9.608369269,8.638129402,9.131167765,8.818622835,8.505409404,9.68750595,9.42558812,9.896001686,9.597847314,9.375302569,9.701836949,9.447866435,10.17897419
"Psme1",4.929049909,4.822106219,5.683541931,3.813509232,5.210326745,4.069945583,5.340629373,4.530618297,4.356027707,4.746315805,4.06743926,5.331230428,4.902831811,4.899968399,4.903313669,4.471717367,4.706390274,4.870895864,5.687174691,5.18853048,5.576589548,3.869788222,4.494479608,3.362308556,4.534082636,4.725860566,3.901680829,5.017736281,4.909307931,3.892875056,4.991617767,4.624636576,5.247159504,3.894693872,5.551982674,5.639831338,4.765551984,5.147086119,4.813732374,5.193606627,5.463557671,4.238081444,4.875944669,4.794582049,5.291564902
"Ppp6r1",9.659880605,10.00766076,8.890918036,10.89186217,10.99079948,8.108370137,9.758029155,9.762509619,10.40736773,8.599423102,10.33367712,8.088936774,9.698850236,7.21290178,9.768734216,10.76759597,10.38707487,9.190137896,8.568496914,10.35966758,8.616789097,9.066778654,7.604099661,8.417483404,8.402884536,7.434171496,7.823793497,7.805440365,8.33587418,10.29620173,10.13412662,9.343591791,9.181098009,9.091021376,10.27346179,9.669861203,9.256019828,9.717284509,9.551945929,8.757125943,9.027614872,9.098217036,9.636070938,9.992099029,10.17439461
"Hpx",10.13997554,11.72659012,12.76848857,12.4546308,11.1582894,12.56474603,11.91368792,11.81271564,12.03355352,10.9208797,10.4044506,10.83929217,10.53543092,12.31864314,11.02094883,10.93992482,10.74326433,7.879009399,12.60873749,11.50325886,13.25256838,11.60028846,12.76192676,13.18081839,12.18531329,13.34696221,13.28166961,13.01366732,12.6530332,11.11738767,11.30519852,11.6377217,12.4002704,11.55341965,11.63331404,11.54585865,11.47094337,11.56861848,11.20289907,12.4482402,12.12604595,10.64107345,10.49625929,10.73521378,10.58993803
"Git2",7.433957783,8.337946113,8.711354047,8.4808689,7.986911606,8.056857886,8.285791963,8.642410334,8.208099627,9.933876572,8.733511636,9.568566325,7.996712857,8.66878615,10.71318224,8.887677313,8.971836652,7.984998223,7.832010759,9.111694571,10.07987925,8.454402919,8.703555028,8.335731658,8.760038649,8.530542358,9.460949197,9.829099035,8.380451558,8.683511326,7.545703049,9.816798224,8.43682342,9.639182565,8.738947083,8.552373332,7.851717915,6.747977337,8.338262846,10.59627015,8.104155207,9.018590931,8.507588529,8.58956004,9.768921897
"Eps8",6.060282319,7.273439677,6.17682713,7.099110152,7.367401649,6.107133707,7.354539058,6.89228713,6.98356024,7.48942829,6.499046011,8.087376267,5.368846641,5.742299429,6.899881676,7.863153078,7.605308481,7.04697788,6.089732462,7.977376212,7.43030519,6.401761548,6.620583729,5.942312933,7.369820907,6.817647065,7.473986463,7.751794452,7.993553934,7.211803493,5.748671534,7.604890174,7.408236373,7.982128874,7.530656044,6.903602395,7.790376213,6.764895282,6.842531458,6.520268488,8.149139374,7.473840612,7.445245787,7.669781955,7.667028027
"Gapdh",9.755702155,7.815166075,8.456145778,9.166112027,8.906533435,8.204971824,8.34730048,7.089421659,6.326416092,7.323884673,9.536835613,7.134873179,7.782113623,7.355600138,7.322346104,7.821579201,7.260743343,9.58870305,6.992273238,6.821959645,7.413811152,6.913228,7.995041977,7.835486216,8.245297922,7.589320409,6.702441258,7.055746607,6.541277026,7.619234107,8.357869773,8.482975497,6.98365824,7.170262838,7.209840823,7.592387712,6.552568233,7.888693364,7.879795107,7.629888949,6.906441463,8.063942495,7.776740676,8.18445816,7.324845716
"Iqgap1",10.02529796,8.365102449,8.917755443,8.816409325,9.015759307,9.194882353,8.427304289,8.376312117,8.121278623,8.945743074,8.39102668,8.115747578,8.980098332,8.679679364,7.797787925,8.006663054,8.508272754,8.402288105,9.248590502,7.65373893,8.864780055,7.898273951,8.664029549,8.367904885,8.913047085,8.890554575,9.331359036,8.548269785,8.713587468,8.600053711,7.747325193,8.512804397,8.269975207,9.171144867,8.060646163,8.969359754,9.343262088,8.992284165,9.221126474,8.66084531,8.47066153,9.178849392,8.603265614,8.301007232,7.597727607
"Sptan1",5.973056904,6.592732099,7.554326768,5.505628378,5.682245799,6.074741529,6.926039369,6.223859145,6.766942044,5.997089173,6.131720411,6.550484489,6.137851583,6.223712177,5.672804036,8.729940837,6.600599282,6.414783193,7.065723167,7.153635557,7.031379276,7.33066081,7.697498362,6.228787884,6.998391223,7.549843212,6.192748509,7.856782205,7.680407492,6.7067416,7.44825883,5.912010692,6.887806003,6.11870703,6.841819438,6.536666613,6.810685576,6.93223731,5.584376118,7.209550116,6.891822583,5.80681554,5.611258967,6.04304175,6.82972205
"Itgax",6.043586862,6.104042656,5.292018328,7.402711407,6.733265824,4.400889846,6.63071211,4.994921573,5.675694376,5.67804877,7.345386848,6.301882898,5.155833992,5.248986544,4.676154016,6.358351176,5.176184774,6.337587009,5.023352407,5.684439664,3.828425869,5.593673943,6.351628299,6.883545157,5.975169595,6.095062026,5.257919043,5.05829321,4.834086905,6.002303067,5.489554278,6.420107228,5.053780182,6.820568043,4.952787936,4.737223487,5.589145555,5.733127762,5.73419011,5.305182041,6.312641989,6.056637547,5.986956651,5.655075516,6.371853556
"Thbs3",6.234860097,5.839945688,5.664214273,6.850699346,7.06598345,5.68051444,6.934719329,5.095636415,3.613532248,5.496173941,6.159125797,4.749756447,5.820668189,4.878941111,6.613359756,7.406761763,6.184181003,3.113126036,5.574332866,6.320451127,6.312446484,5.059471108,6.212144303,6.220149392,4.312531613,5.002270008,6.60512209,5.409621105,4.93757224,6.345490148,8.031257599,5.922485781,5.150813824,5.504403892,6.065466125,4.130593978,4.753948955,5.567657198,5.817850928,5.610042081,5.932016363,6.198428605,6.527600332,6.155883181,7.140439543
"Hspa8",8.181925926,6.019563225,6.43560403,7.222949968,6.267547815,5.895873704,6.194129757,4.733285245,5.259779177,5.874079603,7.69695271,5.878319134,5.824987669,5.848162615,4.94077013,6.240165361,5.619951493,7.180122894,4.825938132,5.086672329,4.869228571,5.017664595,6.351046582,6.723522286,5.773164666,4.880603056,3.863814215,5.109202486,4.512039148,5.608586289,7.109115989,5.660439238,5.433606629,4.527188051,4.941723552,5.439234016,4.066263492,5.292174539,5.808687174,4.753532874,4.893168877,5.825723358,5.902966472,5.780904888,5.455355644
"Anxa11",7.074912707,8.654190644,7.798411623,8.947087579,7.637101689,5.666546445,7.566763727,7.25505872,9.656507345,8.561894338,9.211960176,7.756042824,7.886078737,7.287255995,7.956872477,8.855303759,9.201872023,7.938104258,7.841922223,9.141398095,7.646230416,7.724338026,9.056398511,8.106151211,8.668483901,7.314855983,7.201767286,6.743560453,7.78937425,9.407314091,8.782332385,9.53318136,7.238872733,6.544818317,8.285621559,8.019614357,7.088741131,7.932675665,7.167661986,7.623228539,7.626013859,7.691055802,8.121063222,8.137466757,9.638096595
"Itgb5",8.908996176,8.393330486,8.674754927,8.932047955,8.885413415,8.631019183,9.575466828,8.21768667,8.345521504,8.621016159,8.824859666,7.719546672,9.294404332,8.338938062,8.398842555,9.58380497,8.389075845,9.118430861,8.626967795,8.77225764,8.785953736,9.400243474,8.925370536,9.277926156,8.430228908,8.77752104,9.113987838,8.534969681,8.102775303,8.554912127,7.791478481,7.2253747,7.90725518,8.978500782,8.31195616,8.096124657,9.043302947,8.542221704,7.693918956,8.527311223,8.685115086,8.828063328,8.284692821,9.054000397,8.097817835
